9,9,6,0,6,5,6,7,0
17,19,20,20,15,11,15,14,1
21,22,29,24,24,27,28,27,2
0,9,9,5,4,5,2,2,0
12,16,13,13,11,20,10,11,1
30,30,24,25,24,22,29,21,2
8,9,4,3,1,4,1,6,0
10,13,13,19,16,18,13,17,1
28,23,29,22,26,23,26,29,2
8,6,3,1,9,6,9,3,0
17,18,18,11,20,16,18,20,1
23,27,28,23,30,27,23,23,2
9,7,6,7,6,5,5,6,0
10,14,18,10,18,17,19,12,1
23,28,28,22,29,22,27,21,2
6,7,6,9,7,4,7,7,0
20,20,20,12,14,12,15,15,1
30,23,29,25,23,26,22,25,2
1,0,2,1,5,2,0,4,0
17,18,15,18,13,10,10,15,1
25,22,27,29,29,23,27,30,2
7,2,8,6,9,6,6,9,0
14,14,10,13,17,12,20,16,1
26,29,29,29,23,22,29,27,2
3,2,0,5,7,6,7,6,0
16,20,17,16,13,17,11,20,1
22,28,26,30,21,26,27,24,2
3,3,7,7,1,7,3,3,0
17,19,16,15,17,11,13,11,1
25,28,25,28,25,25,24,26,2
7,2,1,2,4,6,8,5,0
10,12,10,12,11,15,10,17,1
26,21,21,24,21,26,22,25,2
9,4,9,4,9,6,5,3,0
18,11,12,18,14,12,14,15,1
23,28,21,24,29,27,25,22,2
8,9,8,3,4,2,2,6,0
17,12,10,16,18,12,20,10,1
23,21,28,22,25,21,30,22,2
4,5,0,9,5,8,7,9,0
17,19,11,17,13,15,15,14,1
28,29,27,30,21,25,21,23,2
6,7,7,5,0,9,7,3,0
18,12,19,18,16,16,14,14,1
22,22,22,29,26,26,26,25,2
4,5,0,9,7,9,6,8,0
12,10,17,15,13,19,18,15,1
30,30,30,23,26,28,27,24,2
0,6,1,7,4,4,0,6,0
13,12,10,11,20,20,15,16,1
30,28,29,29,22,24,25,30,2
6,6,9,0,9,9,5,4,0
13,17,16,20,18,16,15,20,1
26,27,22,23,28,29,28,30,2
5,5,4,4,4,3,7,1,0
17,11,10,10,17,20,12,20,1
30,22,29,27,21,29,23,21,2
4,5,7,4,3,8,3,5,0
12,19,17,16,15,16,13,10,1
23,22,29,27,26,27,29,25,2
4,1,5,7,0,5,8,3,0
10,20,13,15,14,10,19,12,1
27,29,30,22,25,25,26,27,2
2,7,6,6,3,3,2,8,0
13,14,16,10,17,13,12,16,1
23,23,22,28,23,27,28,27,2
4,8,9,6,4,3,9,9,0
18,15,16,13,10,17,18,10,1
30,25,22,23,28,23,26,24,2
4,9,3,5,1,3,6,2,0
15,17,13,17,20,17,15,14,1
28,30,26,30,26,23,23,30,2
4,1,4,1,5,0,3,2,0
20,16,19,14,12,10,18,16,1
21,27,28,27,22,27,29,30,2
7,0,1,2,8,8,4,0,0
13,18,20,11,17,20,18,11,1
28,23,29,28,30,26,21,24,2
5,8,6,2,3,6,9,6,0
20,16,15,13,12,13,19,18,1
27,24,25,28,29,25,21,28,2
6,2,4,9,3,0,4,8,0
13,11,10,15,11,19,13,15,1
28,29,30,29,23,24,26,29,2
4,3,9,6,3,6,1,3,0
19,20,11,10,20,20,14,18,1
25,28,28,22,23,30,25,28,2
7,5,4,6,6,4,2,5,0
15,13,17,14,14,12,15,15,1
22,26,28,27,22,22,28,22,2
7,8,0,3,6,8,2,9,0
13,10,10,10,17,14,13,17,1
22,30,22,22,27,21,22,30,2
1,5,1,1,4,4,5,1,0
14,12,12,17,15,20,14,15,1
27,21,24,22,30,27,23,22,2
1,2,8,4,1,4,1,5,0
10,11,14,14,11,14,12,20,1
25,24,21,29,21,27,30,28,2
9,3,3,7,1,3,6,8,0
19,14,13,11,19,18,19,10,1
27,25,23,26,27,27,22,27,2
7,6,9,5,2,1,9,1,0
18,15,14,11,17,20,10,16,1
26,27,27,27,30,27,30,27,2
1,8,2,1,4,9,9,0,0
17,20,18,11,15,14,18,14,1
26,23,23,24,28,25,26,29,2
6,6,2,7,8,7,3,2,0
11,14,12,13,10,16,19,20,1
30,22,22,24,26,22,21,21,2
9,3,2,2,0,3,0,2,0
17,16,13,16,18,15,15,13,1
22,22,30,29,29,28,24,25,2
7,8,3,9,1,5,9,0,0
13,16,18,19,19,14,13,14,1
27,27,27,25,25,29,28,27,2
9,8,4,4,5,5,7,9,0
15,16,18,19,12,12,11,11,1
30,28,24,29,30,25,21,26,2
3,2,6,6,9,3,2,2,0
14,14,11,11,20,17,17,20,1
26,24,27,26,27,23,22,24,2
8,3,5,9,5,5,3,8,0
11,14,11,12,16,11,17,18,1
24,27,29,24,29,23,28,28,2
3,8,7,4,1,6,7,6,0
11,13,13,14,19,19,16,15,1
29,29,25,25,24,25,23,26,2
6,7,0,1,4,8,8,1,0
20,14,11,18,10,13,20,20,1
28,29,27,24,25,29,30,22,2
1,9,5,6,2,8,2,4,0
14,10,13,19,16,13,15,16,1
24,30,23,21,23,29,28,29,2
4,9,3,0,3,5,1,9,0
20,19,20,17,16,14,11,12,1
24,30,29,22,26,26,29,21,2
2,8,0,1,2,8,1,7,0
15,18,18,12,12,16,17,20,1
26,23,27,29,28,27,25,30,2
6,5,1,5,6,1,3,4,0
19,13,15,11,14,14,20,14,1
29,30,25,29,29,22,21,23,2
0,6,1,2,8,3,8,6,0
18,11,12,18,20,15,17,14,1
26,23,24,24,25,30,30,21,2
2,8,9,5,6,5,2,4,0
12,15,20,20,17,16,20,13,1
30,27,30,29,23,23,22,30,2
7,8,9,1,1,2,9,0,0
13,16,10,20,16,12,12,19,1
21,29,29,26,21,25,22,21,2
1,5,4,1,4,5,6,6,0
12,17,11,11,10,19,19,19,1
22,22,24,30,23,24,22,25,2
1,6,6,0,5,3,1,8,0
19,17,14,20,17,19,13,11,1
21,22,21,28,21,25,24,22,2
4,4,2,8,1,5,6,4,0
16,11,13,19,13,13,15,12,1
22,30,24,21,24,25,23,21,2
7,6,9,4,0,0,1,4,0
14,16,18,15,16,20,15,13,1
23,22,22,22,21,26,23,21,2
7,6,5,2,1,9,7,6,0
17,15,18,17,14,17,14,16,1
21,26,30,24,23,27,28,30,2
8,3,1,9,5,0,7,3,0
13,14,16,11,19,13,18,11,1
28,27,24,26,25,27,30,24,2
5,4,7,4,8,4,7,5,0
14,10,12,10,20,12,13,10,1
21,23,25,21,23,24,23,27,2
9,9,2,9,9,1,6,3,0
13,17,15,11,13,10,13,10,1
21,29,27,24,27,22,29,30,2
4,4,8,1,8,1,7,5,0
12,19,19,14,14,16,15,16,1
28,26,29,23,27,27,29,22,2
1,5,1,2,7,9,5,7,0
18,12,16,13,19,18,12,12,1
26,29,25,28,25,25,26,27,2
1,2,4,7,0,5,5,2,0
17,18,18,18,10,13,12,10,1
30,22,24,26,28,27,29,25,2
6,8,6,2,9,1,2,8,0
10,11,20,10,10,19,12,16,1
27,29,21,25,26,24,27,21,2
2,6,3,0,3,4,3,2,0
10,18,16,17,12,13,17,16,1
23,28,24,27,28,21,30,21,2
3,7,6,0,2,8,1,8,0
20,10,18,12,16,12,19,19,1
24,22,21,26,23,30,29,22,2
